                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.79989,                0.69259,                 1.1168,                0.76834,                 0.6778,                0.72218,                0.41727,                 1.4577,                  1.397,                 1.6806,             0.00058441,             0.00058441,             0.00058441
                     57,                0.79346,                0.69679,                 1.1201,                0.72454,                0.72142,                 0.7508,                0.44454,                 1.4609,                 1.2257,                 1.6617,             0.00058205,             0.00058205,             0.00058205
                     58,                0.77507,                0.68486,                 1.1063,                0.77592,                0.68998,                0.75143,                0.44395,                 1.4523,                 1.2328,                 1.6733,              0.0005797,              0.0005797,              0.0005797
                     59,                0.77054,                0.67125,                 1.1025,                0.76451,                0.67875,                0.73371,                0.43635,                 1.4596,                  1.299,                 1.6892,             0.00057734,             0.00057734,             0.00057734
                     60,                0.76593,                0.67883,                 1.1029,                0.77771,                0.65566,                0.70682,                0.43404,                 1.4536,                 1.4034,                 1.6747,             0.00057498,             0.00057498,             0.00057498
                     61,                0.77253,                0.70381,                 1.1134,                0.79841,                0.71064,                0.75272,                0.44741,                 1.4469,                 1.2123,                 1.7065,             0.00057263,             0.00057263,             0.00057263
                     62,                0.77856,                0.69631,                 1.1098,                0.74357,                 0.6463,                0.71164,                 0.4094,                 1.5386,                 1.3796,                 1.7729,             0.00057027,             0.00057027,             0.00057027
                     63,                0.76716,                 0.6768,                 1.0975,                 0.7382,                0.70457,                0.73601,                0.44443,                 1.4537,                 1.2705,                 1.6775,             0.00056792,             0.00056792,             0.00056792
                     64,                0.76095,                0.66092,                 1.0975,                0.77341,                0.72301,                0.78208,                0.45705,                 1.5084,                 1.2947,                 1.7058,             0.00056556,             0.00056556,             0.00056556
                     65,                  0.752,                0.65645,                 1.0963,                0.81882,                 0.6674,                0.77543,                0.45222,                 1.4631,                 1.2359,                  1.696,              0.0005632,              0.0005632,              0.0005632
                     66,                0.73535,                0.65123,                 1.0921,                 0.7142,                0.72403,                0.73315,                0.42452,                 1.4968,                 1.3377,                 1.7643,             0.00056085,             0.00056085,             0.00056085
                     67,                0.74924,                0.63957,                 1.0852,                 0.7186,                0.72304,                0.72587,                 0.4227,                 1.4425,                  1.303,                 1.6751,             0.00055849,             0.00055849,             0.00055849
                     68,                 0.7421,                0.63502,                 1.0906,                0.84424,                0.64368,                0.76221,                0.44454,                 1.4956,                 1.2354,                 1.7265,             0.00055613,             0.00055613,             0.00055613
                     69,                0.73665,                 0.6478,                  1.084,                0.73381,                 0.7297,                0.75501,                0.44046,                 1.5029,                 1.2978,                 1.7589,             0.00055378,             0.00055378,             0.00055378
                     70,                0.72458,                0.62985,                 1.0764,                 0.7579,                0.68139,                0.74351,                0.43401,                 1.4901,                 1.3148,                 1.7265,             0.00055142,             0.00055142,             0.00055142
                     71,                 0.7217,                0.63755,                 1.0817,                 0.7608,                0.68239,                0.74791,                 0.4297,                 1.4902,                 1.4183,                  1.747,             0.00054907,             0.00054907,             0.00054907
                     72,                0.72168,                0.63498,                 1.0816,                 0.7814,                0.69361,                0.75342,                0.42675,                 1.5271,                 1.3536,                 1.7817,             0.00054671,             0.00054671,             0.00054671
                     73,                0.71788,                0.62441,                 1.0752,                0.71118,                 0.7431,                0.75366,                 0.4295,                 1.5087,                 1.3315,                 1.7731,             0.00054435,             0.00054435,             0.00054435
                     74,                0.69941,                0.60594,                 1.0648,                 0.8101,                0.65552,                0.72028,                0.40628,                 1.4897,                 1.4012,                 1.7349,               0.000542,               0.000542,               0.000542
                     75,                0.70507,                0.60294,                 1.0678,                0.75959,                 0.6589,                0.71575,                0.42773,                 1.4872,                 1.3824,                 1.7448,             0.00053964,             0.00053964,             0.00053964
                     76,                 0.7178,                0.62202,                  1.076,                 0.7824,                0.68161,                0.71518,                0.42847,                 1.4827,                 1.3087,                 1.7086,             0.00053728,             0.00053728,             0.00053728
                     77,                0.69923,                0.59914,                  1.066,                0.75973,                0.71353,                0.73975,                0.41431,                 1.5447,                  1.359,                  1.797,             0.00053493,             0.00053493,             0.00053493
                     78,                0.70807,                0.59338,                  1.063,                0.76422,                0.73511,                0.76226,                0.44901,                 1.4875,                 1.2395,                 1.7531,             0.00053257,             0.00053257,             0.00053257
                     79,                0.69431,                0.59001,                 1.0585,                0.78345,                0.67995,                0.73191,                0.44704,                 1.4518,                  1.366,                 1.6682,             0.00053022,             0.00053022,             0.00053022
                     80,                0.69967,                 0.6049,                 1.0653,                0.79391,                0.68169,                0.73364,                0.43782,                 1.4849,                 1.3288,                 1.7305,             0.00052786,             0.00052786,             0.00052786
                     81,                0.68671,                0.57701,                 1.0531,                0.79061,                0.66599,                0.74365,                0.43807,                 1.4865,                 1.2753,                 1.7317,              0.0005255,              0.0005255,              0.0005255
                     82,                 0.6773,                0.58322,                  1.059,                0.74683,                0.74768,                0.74203,                0.43841,                 1.4825,                 1.3005,                 1.7115,             0.00052315,             0.00052315,             0.00052315
                     83,                0.69015,                0.60071,                 1.0632,                0.79886,                0.69995,                0.78133,                0.45582,                 1.4747,                 1.2638,                 1.7598,             0.00052079,             0.00052079,             0.00052079
                     84,                0.69381,                0.58544,                 1.0597,                0.76922,                0.68238,                0.73295,                0.44208,                 1.4792,                  1.262,                 1.7542,             0.00051844,             0.00051844,             0.00051844
                     85,                0.69147,                0.58456,                 1.0595,                 0.7418,                0.72492,                0.73464,                0.43785,                 1.4596,                 1.3239,                 1.7077,             0.00051608,             0.00051608,             0.00051608
                     86,                0.68053,                0.59061,                 1.0557,                0.76584,                0.71718,                0.76712,                0.46276,                 1.4061,                 1.3172,                 1.6742,             0.00051372,             0.00051372,             0.00051372
                     87,                0.66008,                0.55414,                 1.0426,                0.77198,                 0.6756,                0.71519,                 0.4407,                 1.4554,                 1.4022,                 1.7107,             0.00051137,             0.00051137,             0.00051137
